Date,Open,High,Low,Close*,Adj Close**,Volume
"Jan 01, 2021",3270.00,3363.89,3086.00,3206.20,3206.20,71528900
"Dec 01, 2020",3188.50,3350.65,3072.82,3256.93,3256.93,77556200
"Nov 01, 2020",3061.74,3366.80,2950.12,3168.04,3168.04,90810500
"Oct 01, 2020",3208.00,3496.24,3019.00,3036.15,3036.15,116226100
"Sep 01, 2020",3489.58,3552.25,2871.00,3148.73,3148.73,115899300
"Aug 01, 2020",3180.51,3495.00,3073.00,3450.96,3450.96,83516600
"Jul 01, 2020",2757.99,3344.29,2754.00,3164.68,3164.68,127502000
"Jun 01, 2020",2448.00,2796.00,2437.13,2758.82,2758.82,87818300
"May 01, 2020",2336.80,2525.45,2256.38,2442.37,2442.37,82584400
"Apr 01, 2020",1932.97,2475.00,1889.15,2474.00,2474.00,124609800
"Mar 01, 2020",1906.49,1996.33,1626.03,1949.72,1949.72,163809100
"Feb 01, 2020",2010.60,2185.95,1811.13,1883.75,1883.75,92510100
"Jan 01, 2020",1875.00,2055.72,1815.34,2008.72,2008.72,84698300
"Dec 01, 2019",1804.40,1901.40,1735.00,1847.84,1847.84,68149600
"Nov 01, 2019",1788.01,1824.69,1722.71,1800.80,1800.80,52076200
"Oct 01, 2019",1746.00,1798.85,1685.06,1776.66,1776.66,70360500
"Sep 01, 2019",1770.00,1853.66,1709.22,1735.91,1735.91,61172900
"Aug 01, 2019",1871.72,1897.92,1743.51,1776.29,1776.29,79771200
"Jul 01, 2019",1922.98,2035.80,1849.44,1866.78,1866.78,73148800
"Jun 01, 2019",1760.01,1935.20,1672.00,1893.63,1893.63,74746500
"May 01, 2019",1933.09,1964.40,1772.70,1775.07,1775.07,98214400
"Apr 01, 2019",1800.11,1956.34,1798.73,1926.52,1926.52,81239200
"Mar 01, 2019",1655.13,1823.75,1586.57,1780.75,1780.75,100832200
"Feb 01, 2019",1638.88,1673.06,1566.76,1639.83,1639.83,80936900
"Jan 01, 2019",1465.20,1736.41,1460.93,1718.73,1718.73,134001700
"Dec 01, 2018",1769.46,1778.34,1307.00,1501.97,1501.97,154812700
"Nov 01, 2018",1623.53,1784.00,1420.00,1690.17,1690.17,139290000
"Oct 01, 2018",2021.99,2033.19,1476.36,1598.01,1598.01,183220800
"Sep 01, 2018",2026.50,2050.50,1865.00,2003.00,2003.00,94445500
"Aug 01, 2018",1784.00,2025.57,1776.02,2012.71,2012.71,96575800
"Jul 01, 2018",1682.70,1880.05,1678.06,1777.44,1777.44,97521100
"Jun 01, 2018",1637.03,1763.10,1635.09,1699.80,1699.80,85941300
"May 01, 2018",1563.22,1635.00,1546.02,1629.62,1629.62,71615500
"Apr 01, 2018",1417.62,1638.10,1352.88,1566.13,1566.13,129919600
"Mar 01, 2018",1513.60,1617.54,1365.20,1447.34,1447.34,130400100
"Feb 01, 2018",1445.00,1528.70,1265.93,1512.45,1512.45,137784000
"Jan 01, 2018",1172.00,1472.58,1170.51,1450.89,1450.89,96371200
"Dec 01, 2017",1172.05,1194.78,1124.74,1169.47,1169.47,57760200
"Nov 01, 2017",1105.40,1213.41,1086.87,1176.75,1176.75,77165000
"Oct 01, 2017",964.00,1122.79,950.37,1105.28,1105.28,83334100
"Sep 01, 2017",984.20,1000.00,931.75,961.35,961.35,59291800
"Aug 01, 2017",996.11,1006.40,936.33,980.60,980.60,77391800
"Jul 01, 2017",972.79,1083.31,951.00,987.78,987.78,78812400
"Jun 01, 2017",998.59,1017.00,927.00,968.00,968.00,96135400
"May 01, 2017",927.80,1001.20,927.80,994.62,994.62,76202000
"Apr 01, 2017",888.00,949.59,884.49,924.99,924.99,73539700
"Mar 01, 2017",853.05,890.35,833.50,886.54,886.54,60710700
"Feb 01, 2017",829.21,860.86,803.00,845.04,845.04,71748300
"Jan 01, 2017",757.92,843.84,747.70,823.48,823.48,70614000
"Dec 01, 2016",752.41,782.46,736.70,749.87,749.87,73660200
"Nov 01, 2016",799.00,800.84,710.10,750.57,750.57,110085900
"Oct 01, 2016",836.00,847.21,774.61,789.82,789.82,77063800
"Sep 01, 2016",770.90,839.95,756.00,837.31,837.31,67335700
"Aug 01, 2016",759.87,774.98,750.35,769.16,769.16,50000400
"Jul 01, 2016",717.32,766.00,716.54,758.81,758.81,68635500
"Jun 01, 2016",720.90,731.50,682.12,715.62,715.62,74540900
"May 01, 2016",663.92,724.23,656.00,722.79,722.79,90614500
"Apr 01, 2016",590.49,669.98,585.25,659.59,659.59,78464200
"Mar 01, 2016",556.29,603.24,538.58,593.64,593.64,94009500
"Feb 01, 2016",578.15,581.80,474.00,552.52,552.52,124144800
"Jan 01, 2016",656.29,657.72,547.18,587.00,587.00,130200900
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
